GEMEENTE;JAAR;PERIODE;BELEIDSPROGRAMMA;ORGANISATIE; SUBSIDIE BESCHIKT ;BEKOSTIGD UIT RIJKSINKOMSTEN;WETTELIJKE TAAK;GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;Stichting Stadshart Vlaardingen; 11.575,00 ;Nee;Nee;Verdere uitvoering van overeenkomst van opdracht binnenstadsmanager Vlaardingen t.b.v. continuering opdrachtverstrekking binnenstadsmanager.
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;Stichting Aanzet; 24.000,00 ;Ja;Ja;Voorleesexpress.
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;UNIEK Kinderopvang B.V.; 39.350,00 ;Nee;Nee;Eenmalige compensatie overhead kosten.
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;Komkids Kinderopvang b.v.; 132.722,00 ;Ja;Ja;Peuterspeelzaalwerk.
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;Stichting Wijzer in Opvang; 464.832,00 ;Ja;Ja;Peuterspeelzaalwerk 2017.
Vlaardingen;2017;Q1;Programma Sociaal domein;Minters; 3.200,00 ;Nee;Nee;Onderzoek.
Vlaardingen;2017;Q1;Programma Sociaal domein;Minters ; 7.672,00 ;Ja;Ja;Extra inzet van de gezinsspecialist gedurende 28 weken x 4 uur.
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Halt; 7.905,00 ;Nee;Nee;Aanbieden van 35 lessen vuurwerkvoorlichting.
Vlaardingen;2017;Q1;Programma Sociaal domein;MEE ZHN (stichting VTV); 8.100,00 ;Nee;Nee;"De subsidie omvat de inzet van een beweegcoach voor totaal 160 uur. De beweegcoach adviseert, ondersteunt, begeleidt en stimuleert bij een sportvraag van mensen met een beperking. De beweegcoach adviseert de sporter maar ook vooral de verenigingen en beheerders van accommodaties. De beweegcoach heeft een verbinding met  de wijkteams en werkt nauw samen met de buurtsportcoach aangepast sporten van stichting Vlaardingen in Beweging. De inzet draagt bij aan de versterking van de buurtsportcoach aangepast sporten als aan de sportcoaches/trainers van verenigingen. 

Voor 2017 worden 10 individuele trajecten begeleid. Daarnaast organiseert de beweegcoach minimaal twee bijeenkomsten en 12 verenigingsbezoeken voor de versterking van het netwerk rondom aangepast sporten. De beweegcoach zal de sportconsulent van SportMee raadplegen daar waar meer deskundigheid nodig is inzake bewegen of daar waar afstemming noodzakelijk is bij cliënten die binnen de samenwerkende gemeentes van doen hebben."
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Vlaardingen Geeft; 11.250,00 ;Nee;Nee;Welzijnssubsidie: Opzetten en realiseren Vlaardings Inloophuis de Boei. In dit inloophuis worden activiteiten georganiseerd voor ontmoeting kankerpatienten en hun netwerk.
Vlaardingen;2017;Q1;Programma Sociaal domein;Slachtofferhulp Nederland regio Zuidwest; 18.680,00 ;Nee;Nee;"Activiteiten op het gebied van slachtofferhulp; o.a. opvang na een delict, verkeersongeval en calamiteit, ondersteuning bij het verwerkingsproces; hulp bij schadeafhandeling; ondersteuning bij de afhandeling van een strafzaak; verwijzing naar netwerkpartners."
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting UN1EK - IKC de Ark; 24.079,00 ;Nee;Nee;Inzet pedagogisch medewerker bij de uitvoering van de Familieklas. De subsidie is in 2016 bevoorschot. 
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting VluchtelingenWerk Zuid-West Nederland locatie Vlaardingen; 73.350,00 ;Ja;Ja;Taalcentrum Vlaardingen.
Vlaardingen;2017;Q1;Programma Sociaal domein;Cooperatie VlaardingenWerkt; 88.000,00 ;Ja;Nee;"Inzamelen, sorteren, distribueren van huisraad en afleveren bij woning vergunninghouder, het leveren van hand en spandiensten aan organisaties en initiatieven uit het netwerk, in orde maken van woningen, fietsenproject, project Thuis afgehaald.  
"
Vlaardingen;2017;Q1;Programma Sociaal domein;Stichting Elckerlyc; 170.000,00 ;Nee;Nee;Opvang en begeleiding in de voorziening plusvoorziening maatschappelijke opvang (mogelijk vervolg na opvang binnen de dak- en thuislozen opvang De Elementen).
Vlaardingen;2017;Q1;Programma Sociaal domein;MEE ZHN (stichting VTV); 791.039,00 ;Ja;Ja;"Deelname in de 4 wijkteams middels inzet van 6,52 fte en het bieden van onafhankelijke cliëntondersteuning, zowel voor jeugd als volwassenen middels inzet van 1,44 fte. Het schuiven met de inzet van fte tussen wijkteam en onafhankelijke cliëntondersteuning kan alleen plaatsvinden in nauw overleg met Minters.  Daarnaast bijdrage aan bovenregionale activiteiten, te weten integrale vroeghulp, crisishulpverlening, expertise netwerken en sociale kaart en inzet van een gedragsdeskundige ten behoeve van de professionals van de sociale wijkteams. Deze inzet omvat 150 uur.

"
Vlaardingen;2017;Q1;Programma Sport en Recreatie;Vlaardingse Reddingsbrigade; 14.500,00 ;Nee;Nee;Het organiseren en uitvoeren van de activiteiten in het kader van het reddend zwemmen ( uitgesloten zijn uw activiteiten voor het lesgeven A, B en C diploma).
Vlaardingen;2017;Q1;Programma Sport en Recreatie;Stichting YETS Foundation; 14.950,00 ;Nee;Nee;"Activiteiten in het kader van voorkomen van maatschappelijke uitval onder kwetsbare jongeren (12-18 jaar) door deelnemers intensief te ondersteunen in hun sociaal-emotionele, cognitieve en gedragsmatige ontwikkeling door middel van sportactiviteiten.
"
